0.261,254,56.2
0.262,255,56.6
0.263,256,56.8
0.264,257,57
0.265,258,57.2
0.266,259,57.6
0.267,260,57.9
0.268,261,58.1
0.269,263,58.5
0.27,264,58.7
0.271,265,59.1
0.272,265,59.4
0.273,266,59.8
0.274,267,60.2
0.275,268,60.5
0.276,269,60.9
0.277,270,61.3
0.278,271,61.6
0.279,272,62.1
0.28,273,62.5
0.281,274,63
0.282,275,63.5
0.283,276,63.9
0.284,277,64.4
0.285,277,64.8
0.286,278,65.4
0.287,279,65.9
0.288,280,66.4
0.289,281,66.9
0.29,282,67.5
0.291,283,68
0.292,284,68.6
0.293,285,69.3
0.294,286,69.9
0.295,287,70.4
0.296,288,71.1
0.297,289,71.7
0.298,289,72.6
0.299,290,73.2
0.3,292,74.25
0.301,294,75.2
0.302,295,75.9
0.303,296,76.6
0.304,297,77.4
0.305,298,78.1
0.306,299,79
0.308,300,79.6
0.309,301,80.6
0.31,301,81.4
0.311,302,82.2
0.312,303,83.1
0.313,304,83.9
0.314,305,84.8
0.315,305,85.6
0.316,306,86.6
0.317,308,87.6
0.318,309,88.6
0.319,309,89.5
0.32,310,90.5
0.321,311,91.8
0.322,312,92.6
0.323,313,93.6
0.324,313,94.8
0.325,314,95.8
0.326,315,97
0.327,316,98.3
0.328,317,99.4
0.329,318,100.5
0.33,319,101.8
0.331,320,102.9
0.332,321,104.2
0.333,322,105.5
0.334,323,106.6
0.335,324,108
0.336,325,109.2
0.337,325,110.6
0.338,326,111.9
0.339,327,113.1
0.34,327,114.4
0.341,328,115.8
0.342,329,117.3
0.343,330,118.9
0.344,331,120
0.345,332,121.6
0.346,333,123.1
0.347,334,124.6
0.348,335,126.2
0.359,336,127.5
0.35,337,129.4
0.351,337,131.1
0.352,338,132.9
0.353,338,134.7
0.354,339,136.1
0.355,340,138.1
0.356,341,139.9
0.357,342,141.6
0.358,343,143.5
0.359,344,145.1
0.36,344,147
0.361,345,148.8
0.362,346,150.6
0.363,347,152.7
0.364,348,154.4
0.365,349,156.4
0.366,349,158.5
0.367,350,160.7
0.368,351,162.7
0.369,351,164.3
0.37,352,166.5
0.371,353,168.7
0.372,354,170.9
0.373,355,173.2
0.374,356,175.1
0.375,357,177.4
0.376,357,179.8
0.377,358,181.9
0.378,359,184.3
0.379,360,186.3
0.38,361,188.7
0.381,361,191.4
0.382,361,193.9
0.383,362,196.5
0.384,363,198.6
0.385,364,201.2
0.386,365,203.7
0.387,365,206.4
0.388,366,209
0.389,367,211.6
0.39,368,214.1
0.391,368,216.8
0.392,369,219.6
0.393,370,222.5
0.394,371,224.8
0.395,372,227.5
0.396,372,230.6
0.397,373,233.4
0.398,373,236.4
0.399,374,238.9
0.4,374,242.1
0.401,375,245
0.402,376,248.1
0.403,377,251.2
0.404,378,254
0.405,378,257.2
0.406,379,260.5
0.407,380,263.6
0.408,381,267
0.409,381,269.6
0.41,382,273.2
0.411,383,276.5
0.412,383,279.8
0.413,384,283.2
0.414,385,186.1
0.415,385,289.6
0.416,385,293.2
0.417,386,296.7
0.418,387,300.4
0.419,387,303.4
0.42,388,307.3
0.421,389,311
0.422,389,314.5
0.423,390,318.3
0.424,391,321.5
0.426,392,328.8
0.427,393,332.5
0.428,394,336.4
0.429,394,340
0.43,395,344.1
0.431,396,348.1
0.432,396,352.1
0.433,397,356.1
0.434,397,359.8
0.435,397,363.9
0.436,398,368
0.437,399,372.3
0.438,399,376.5
0.439,400,380.1
0.44,400,384.4
0.441,401,388.7
0.442,402,393
0.443,402,397
0.444,403,401.2
0.445,404,405
0.446,404,410
0.447,405,414
0.448,405,419
0.449,406,423
0.45,406,428
